,Title,Type,Description,Release Year,Rating,Runtime,Genres,Production Countries,Seasons,Imdb Score,Tmdb Score,Platform
1,Water Helps the Blood Run,SHOW,"Five orphan girls from diverse backgrounds, carrying their own personal ""baggage"", must learn how to become a family with their newly adopted ""Parent"", who's own personal ""baggage"" makes needing these girls more important than life itself.",2019,,29,"comedy, drama",US,1.0,9.7,,Amazon Prime
2,Life After,SHOW,"So what happens to the players when their daily life in the NFL halts and their lives go 100 to 0? ""Life After"" follows this difficult transition. Some players pursue interests that got pushed to the side for football, some take skills they learned on the field and monetize them off of the field, and some surprise themselves with a passion they didn't know existed.",2022,,23,sport,,1.0,9.5,,Amazon Prime
3,Jinny's Kitchen,SHOW,"A spin-off of the Youn's Kitchen series, scheduled to air in the first half of 2023.

A program that shows the process of Lee Seo-jin, who was promoted from director of 'Youn's Kitchen' in the past to now an owner/boss, opening and running a small snack & street food bar abroad.",2023,,97,reality,KR,1.0,9.4,6.0,Amazon Prime
4,Denis,SHOW,"Denis, or DenisDaily, is a Canadian YouTuber who mostly makes Roblox videos but has a few different videos such as Hello Neighbor and Happy Wheels. He also makes ""Try Not To Laugh"" and other challenge videos other than Roblox.",2016,,15,comedy,"US, FR",4.0,9.4,,Amazon Prime
5,The Chosen,SHOW,The life of Christ through the eyes of those who encountered him called The Chosen.,2019,TV-PG,49,"drama, history",US,3.0,9.3,8.583,Amazon Prime
6,Subaru Launch Control,SHOW,Go behind closed doors with Subaru Motorsports USA as they chase the American Rally and Rallycross championships. This is everything it takes to win. This is everything that gets in the way of victory.,2013,,21,sport,US,4.0,9.3,,Amazon Prime
7,Reply 1988,SHOW,A nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,2015,TV-14,71,"comedy, drama, family, romance",KR,1.0,9.2,8.652,Amazon Prime
8,Intentions,SHOW,"Three former law students run an illegal operation, disguised as a consulting firm, that specializes in helping clients catch their spouses cheating into high-dollar divorce settlements.",2021,,24,"comedy, drama",US,1.0,9.2,,Amazon Prime
9,Daisy & the Gumboot Kids,SHOW,"Daisy the mouse loves nature. In each episode she guides children through the creation of a new and exciting nature craft. From the creators of Scout and The Gumboot Kids, Daisy brings wonder and imagination to the craft table and encourages children to explore the world outside.",2021,,6,family,US,4.0,9.2,,Amazon Prime
10,Rules of Engagement,SHOW,"Rules of Engagement is a comedy about the different phases of male/female relationships, as seen through the eyes of a newly engaged couple, Adam and Jennifer, a long-time married pair, Jeff and Audrey, and a single guy on the prowl, Russell. As they find out, the often confusing stages of a relationship can seem like being on a roller coaster. People can describe the ride to you, but to really know what it's like you have to experience it for yourself.",2007,TV-14,23,"comedy, drama, romance, thriller",US,7.0,9.2,7.2,Amazon Prime
11,Harmony with A. R. Rahman,SHOW,"Harmony with A.R Rahman' is a curated exploration of the past and future of Indian music through the eyes of A. R. Rahman. India’s rich musical heritage is viewed through the prism of four specially curated instruments and vocal traditions, selected in order to represent the geographic and historic diversity of the country. The series will examine the traditions, the musicians and the locations.",2018,TV-G,43,"documentation, music",IN,1.0,9.1,,Amazon Prime
12,Free to Choose,SHOW,"Free to Choose is a ten-part television series broadcast on public television by economists Milton and Rose D. Friedman that advocates free market principles. It was primarily a response to an earlier landmark book and television series: The Age of Uncertainty, by the noted economist John Kenneth Galbraith. Milton Friedman won the Nobel Memorial Prize in Economics in 1976.",1980,,57,documentation,US,2.0,9.1,7.8,Amazon Prime
13,"Mr. Monkey, Monkey Mechanic",SHOW,"Mr. Monkey, Monkey Mechanic is the go-to monkey mechanic for every animal's vehicular needs! With a special workbench for drawing up plans, a garage full of wacky materials, and his trusty monkey wrench, Mr. Monkey can solve any visitor's vehicular problem in surprising and creative ways!",2017,,5,animation,US,2.0,9.1,,Amazon Prime
14,I Fell In Love With A Sanki,SHOW,"Two introverts fall hopelessly in love with one another while dealing with their personal struggles and trying to find their footing in life. Revolving on the lives of filmmakers in Mumbai, India. The crazy individuals are trying believe again in love, checkout will love conqueror it all or not.",2019,,16,"family, romance, comedy, drama",IN,1.0,9.1,,Amazon Prime
15,DEATH NOTE,SHOW,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",2006,TV-14,24,"animation, drama, fantasy, thriller, crime",JP,1.0,9.0,8.642,Amazon Prime
16,Brain Candy TV,SHOW,Join Lizzy the Dog and a collection of action-packed 3D-animated vehicles on a fun journey aimed at getting young children excited about learning. Early learning for a brighter future!,2017,TV-Y,6,"animation, family",,3.0,9.0,,Amazon Prime
17,Corazón Contento,SHOW,"This series frames 3 Mexican families from different regions, the southern from Merida, the Northerns from Monterrey and the middle of the country by a Mexico city family. All 3 families have one thing in common: ""obesity and bad health habits'...all of which is depicted in a funny way to show how the consequences of these bad habits bite on their lives in all sort of ways. Is a fun thing to whatch, but not with the little ones as several society diseases are brought in to the screen.",2018,,27,"comedy, drama",MX,1.0,9.0,10.0,Amazon Prime
18,Clarkson's Farm,SHOW,"Follow Jeremy Clarkson as he embarks on his latest adventure, farming. The man who on several occasions claims to be allergic to manual labour takes on the most manually labour intensive job there is. What could possibly go wrong?",2021,TV-PG,46,"reality, documentation, comedy",GB,2.0,9.0,8.25,Amazon Prime
19,L.A. Frock Stars,SHOW,"Series is a window into the world of high-end vintage fashion. Focuses on the doyenne of Hollywood vintage, Doris Raymond, and her Los Angeles store The Way We Wore.",2013,TV-PG,32,reality,ZA,2.0,9.0,,Amazon Prime
20,Hunter x Hunter,SHOW,"Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive. His Father, Ging, is a Hunter — a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.",2011,TV-14,23,"action, drama, animation, comedy, fantasy",JP,1.0,9.0,8.661,Amazon Prime
