,Title,Type,Description,Release Year,Rating,Runtime,Genres,Production Countries,Seasons,Imdb Score,Tmdb Score,Platform
1,The Shawshank Redemption,MOVIE,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994,R,143,drama,US,,9.3,8.702,HBO
2,Celebrity Habla,MOVIE,"See what celebrated Latino actors, newsmakers and a musical legend have to say about being Latino in the U.S. in this sixth installment in the award-winning documentary series.",2009,PG,53,documentation,US,,9.3,,HBO
3,Emergency Contact,MOVIE,Can 30-something Roxanna Biltmore handle the matters of her heart concerning her high school crush or will she try something new with Vince Cotton? Watch this woman go from NO emergency contacts to two.,2015,,54,comedy,US,,9.2,,HBO
4,The Dark Knight,MOVIE,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008,PG-13,152,"drama, thriller, action, crime","GB, US",,9.0,8.508,HBO
5,Euphoria: Trouble Don't Last Always,MOVIE,"After changing her mind to run away with Jules at the train station and relapsing, Rue celebrates Christmas.",2020,R,57,drama,US,,9.0,10.0,HBO
6,The Lord of the Rings: The Return of the King,MOVIE,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",2003,PG-13,201,"fantasy, action, drama","NZ, US",,9.0,8.474,HBO
7,Juan Luis Guerra 4.40: Entre Mar y Palmeras,MOVIE,"The renowned Dominican composer, musician, producer, and singer Juan Luis Guerra offers a historic concert from the beautiful and lush beaches of Miches, located in the eastern region of the Dominican Republic.",2021,PG,70,music,DO,,8.9,8.3,HBO
8,The Lord of the Rings: The Two Towers,MOVIE,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002,PG-13,179,"action, fantasy, drama","NZ, US",,8.8,8.375,HBO
9,Celebrity Habla 2,MOVIE,"See what celebrated Latino actors, newsmakers and a musical legend have to say about being Latino in the U.S. in this installment of the award-winning series. Interviews include Jimmy Smits, Luis Guzman, Daisy Fuentes, Wilmer Valderrama, Ana de la Reguera, Ruben Blades, Bernie Williams, and many others.",2010,PG,58,documentation,US,,8.8,,HBO
10,Euphoria: F*ck Anyone Who’s Not A Sea Blob,MOVIE,"Over the Christmas holiday, Jules reflects on the year.",2021,R,55,drama,US,,8.8,10.0,HBO
11,The Lord of the Rings: The Fellowship of the Ring,MOVIE,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001,PG-13,178,"fantasy, action, drama","NZ, US",,8.8,8.394,HBO
12,Dave Chappelle: Killin' Them Softly,MOVIE,"Dave Chappelle returns for a stand-up to D.C. and riffs on politics, police, race relations, drugs, Sesame Street and more.",2000,,58,"comedy, documentation",US,,8.7,8.067,HBO
13,GoodFellas,MOVIE,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990,R,145,"crime, drama",US,,8.7,8.465,HBO
14,George Carlin: Jammin' in New York,MOVIE,"When George Carlin is asked which HBO concert is his favorite, his answer is always, ""Jammin’ In New York."" The show, taped at the Paramount Theater in Madison Square Garden and winner of the 1992 CableACE Award, is a perfect blend of biting social commentary and more gently-observed observational pieces.",1992,,59,"comedy, documentation",US,,8.7,7.982,HBO
15,The Matrix,MOVIE,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",1999,R,136,"action, scifi",US,,8.7,8.2,HBO
16,One Flew Over the Cuckoo's Nest,MOVIE,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",1975,R,133,drama,US,,8.7,8.423,HBO
17,Beah: A Black Woman Speaks,MOVIE,"Beah: A Black Woman Speaks is a 2003 documentary about the life of Academy Award nominated actress Beah Richards. Directed by Lisa Gay Hamilton, it won the Documentary Award at the AFI Los Angeles International Film Festival in 2003.",2003,,88,documentation,US,,8.7,,HBO
18,The Music in Me: The Leopards Take Manhattan - The Little Band That Roared,MOVIE,"Prepare for a fun-filled, emotional journey with 52 young musicians from a variety of backgrounds! This delightful film--the final installment in HBO's acclaimed 'The Music in Me' specials--profiles the young members of the Louisville Leopard Percussionists as they embark on a trip from their Kentucky home to the Big Apple.",2008,,30,documentation,US,,8.7,,HBO
19,Terminator 2: Judgment Day,MOVIE,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",1991,R,137,"scifi, action, thriller","FR, US",,8.6,8.1,HBO
20,The Silence of the Lambs,MOVIE,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",1991,R,118,"drama, thriller, horror, crime",US,,8.6,8.344,HBO
